Location,Date,SO2,CO,O3,NO2,PM10,PM25
강원,2015-01-01,0.006,0.623,0.019,0.012,73.621,10.937
강원,2015-01-02,0.008,0.871,0.017,0.018,40.302,14.74
강원,2015-01-03,0.008,1.05,0.013,0.024,47.844,25.083
강원,2015-01-04,0.011,1.371,0.01,0.029,63.758,42.063
강원,2015-01-05,0.011,1.567,0.009,0.031,93.979,64.552
강원,2015-01-06,0.007,1.031,0.02,0.02,55.385,30.198
강원,2015-01-07,0.007,0.951,0.017,0.022,43.784,16.193
강원,2015-01-08,0.008,1.025,0.011,0.029,61.226,31.978
강원,2015-01-09,0.009,1.143,0.011,0.032,69.26,41.438
강원,2015-01-10,0.009,1.065,0.014,0.028,60.198,36.448
강원,2015-01-11,0.011,1.025,0.019,0.02,55.094,29.781
강원,2015-01-12,0.009,1.11,0.013,0.027,67.406,36.833
강원,2015-01-13,0.01,1.222,0.009,0.031,62.917,34.927
강원,2015-01-14,0.012,1.422,0.008,0.032,67.67,40.053
강원,2015-01-15,0.014,1.557,0.011,0.034,64.622,42.829
강원,2015-01-16,0.01,1.275,0.014,0.028,82.571,61.31
강원,2015-01-17,0.007,0.766,0.024,0.017,51.594,28.208
강원,2015-01-18,0.006,0.894,0.017,0.02,48.295,26.832
강원,2015-01-19,0.009,1.032,0.023,0.021,67.062,41.479
강원,2015-01-20,0.007,1.138,0.015,0.024,65.052,37.13
강원,2015-01-21,0.01,1.343,0.01,0.03,68.038,37.7
강원,2015-01-22,0.009,1.186,0.015,0.024,51.533,31.733
강원,2015-01-23,0.008,0.956,0.014,0.026,59.209,38.11
강원,2015-01-24,0.01,1.019,0.016,0.03,77.771,50.927
강원,2015-01-25,0.009,1.124,0.011,0.03,86.913,58.565
강원,2015-01-26,0.009,1.185,0.01,0.029,66.953,46.694
강원,2015-01-27,0.008,0.841,0.022,0.021,71.978,47.696
강원,2015-01-28,0.007,0.837,0.016,0.024,59.875,26.812
강원,2015-01-29,0.009,1.068,0.007,0.029,68.948,33.833
강원,2015-01-30,0.009,0.94,0.018,0.023,59.542,31.021
강원,2015-01-31,0.008,0.877,0.019,0.022,61.356,27.954
강원,2015-02-01,0.007,0.874,0.018,0.023,60.181,30.833
강원,2015-02-02,0.009,1.018,0.012,0.03,69.723,34.88
강원,2015-02-03,0.009,1.119,0.01,0.032,73.281,40.594
강원,2015-02-04,0.01,1.169,0.013,0.036,81.624,50.054
강원,2015-02-05,0.01,1.008,0.019,0.029,86.571,56.484
강원,2015-02-06,0.01,0.928,0.018,0.032,87.927,54.229
강원,2015-02-07,0.009,0.813,0.016,0.031,70.894,41.128
강원,2015-02-08,0.005,0.384,0.029,0.01,105.426,15.511
강원,2015-02-09,0.007,0.594,0.022,0.018,52.292,15.51
강원,2015-02-10,0.014,1.072,0.018,0.031,112.33,66.273
강원,2015-02-11,0.012,0.938,0.024,0.032,107.366,62.505
강원,2015-02-12,0.008,0.642,0.027,0.021,53.073,18.76
강원,2015-02-13,0.007,0.566,0.026,0.021,39.198,13.125
강원,2015-02-14,0.008,0.828,0.019,0.029,69.436,42.16
강원,2015-02-15,0.01,0.953,0.031,0.025,101.521,62.574
강원,2015-02-16,0.007,0.824,0.02,0.029,54.92,34.898
강원,2015-02-17,0.007,0.855,0.022,0.024,58.602,36.237
강원,2015-02-18,0.007,0.886,0.021,0.021,64.387,45.054
강원,2015-02-19,0.006,0.87,0.022,0.02,62.602,43.667
강원,2015-02-20,0.006,0.889,0.019,0.022,57.74,36.656
강원,2015-02-21,0.007,0.899,0.014,0.023,50.965,30.541
강원,2015-02-22,0.006,0.741,0.025,0.016,136.841,35.943
강원,2015-02-23,0.004,0.554,0.025,0.017,514.76,69.583
강원,2015-02-24,0.006,0.877,0.018,0.025,174.56,40.242
강원,2015-02-25,0.007,0.807,0.019,0.025,93.278,33.678
강원,2015-02-26,0.005,0.476,0.033,0.013,49.284,19.916
강원,2015-02-27,0.006,0.576,0.027,0.016,42.646,17.385
강원,2015-02-28,0.007,0.783,0.017,0.024,59.589,27.726
강원,2015-03-01,0.006,0.599,0.029,0.014,95.417,32.969
강원,2015-03-02,0.007,0.78,0.022,0.024,91.604,26.365
강원,2015-03-03,0.006,0.682,0.025,0.023,69.989,32.099
강원,2015-03-04,0.005,0.46,0.033,0.012,49.872,13.83
강원,2015-03-05,0.006,0.666,0.023,0.022,55.385,28.083
강원,2015-03-06,0.007,0.729,0.016,0.029,58.978,29.121
강원,2015-03-07,0.008,0.789,0.018,0.032,72.323,40.385
강원,2015-03-08,0.01,0.811,0.026,0.028,94.24,53.531
강원,2015-03-09,0.008,0.63,0.028,0.02,86.125,40.042
강원,2015-03-10,0.004,0.392,0.033,0.009,38.207,6.46
강원,2015-03-11,0.007,0.524,0.033,0.016,53.215,16.634
강원,2015-03-12,0.007,0.552,0.031,0.019,45.737,12.168
강원,2015-03-13,0.007,0.68,0.027,0.024,55.896,25.219
강원,2015-03-14,0.008,0.785,0.024,0.026,58.698,24.906
강원,2015-03-15,0.008,0.817,0.022,0.03,64.558,36.958
강원,2015-03-16,0.008,0.902,0.022,0.036,100.552,49.865
강원,2015-03-17,0.01,1.068,0.021,0.041,122.927,60.979
강원,2015-03-18,0.007,0.913,0.03,0.023,73.147,40.421
강원,2015-03-19,0.006,0.718,0.028,0.025,58.637,24.176
강원,2015-03-20,0.006,0.747,0.023,0.029,102.99,36.656
강원,2015-03-21,0.009,0.809,0.035,0.029,147.76,53.667
강원,2015-03-22,0.006,0.68,0.035,0.017,155.979,47.177
강원,2015-03-23,0.005,0.49,0.032,0.016,64.073,12.396
강원,2015-03-24,0.005,0.62,0.027,0.021,55.278,20.856
강원,2015-03-25,0.006,0.633,0.025,0.028,59.733,28.533
강원,2015-03-26,0.006,0.577,0.033,0.028,69.969,35.531
강원,2015-03-27,0.008,0.599,0.046,0.026,90.125,46.104
강원,2015-03-28,0.006,0.525,0.04,0.024,59.531,30.656
강원,2015-03-29,0.006,0.547,0.041,0.022,79.821,34.516
강원,2015-03-30,0.005,0.714,0.032,0.028,145.448,61.115
강원,2015-03-31,0.006,0.822,0.034,0.03,134.936,68
경기,2015-01-01,0.005,0.382,0.02,0.011,63.424,12.111
경기,2015-01-02,0.006,0.487,0.016,0.022,31.923,14.682
경기,2015-01-03,0.007,0.681,0.009,0.034,43.061,24.295
경기,2015-01-04,0.006,0.702,0.009,0.039,50.871,29.312
경기,2015-01-05,0.008,0.993,0.006,0.051,89.687,52.394
경기,2015-01-06,0.005,0.544,0.022,0.022,46.211,21.215
경기,2015-01-07,0.006,0.468,0.019,0.024,39.27,13.246
경기,2015-01-08,0.006,0.663,0.011,0.038,49.011,22.445
경기,2015-01-09,0.007,0.928,0.008,0.047,60.736,33.702
경기,2015-01-10,0.007,0.755,0.012,0.038,46.111,25.531
경기,2015-01-11,0.007,0.627,0.019,0.022,47.667,25.231
경기,2015-01-12,0.007,0.69,0.011,0.039,54.462,27.442
경기,2015-01-13,0.008,0.977,0.005,0.057,75.918,41.52
경기,2015-01-14,0.009,1.062,0.004,0.063,82.83,44.576
경기,2015-01-15,0.009,0.925,0.01,0.052,78.65,42.735
경기,2015-01-16,0.008,0.905,0.015,0.033,94.129,55.375
경기,2015-01-17,0.006,0.502,0.02,0.022,40.021,20.642
경기,2015-01-18,0.006,0.599,0.013,0.03,39.513,20.824
경기,2015-01-19,0.007,0.724,0.018,0.028,68.571,35.802
경기,2015-01-20,0.006,0.698,0.007,0.046,55.809,29.92
경기,2015-01-21,0.008,0.87,0.005,0.052,65.865,36.092
경기,2015-01-22,0.007,0.858,0.011,0.045,59.954,34.13
경기,2015-01-23,0.007,0.782,0.011,0.04,63.69,36.95
경기,2015-01-24,0.008,0.724,0.012,0.044,61.131,35.39
경기,2015-01-25,0.006,0.767,0.008,0.042,70.73,43.392
경기,2015-01-26,0.006,0.743,0.014,0.036,51.371,33.09
경기,2015-01-27,0.006,0.575,0.021,0.022,52.688,28.346
경기,2015-01-28,0.006,0.557,0.013,0.034,51.567,20.141
경기,2015-01-29,0.007,0.799,0.004,0.048,63.481,32.099
경기,2015-01-30,0.006,0.553,0.021,0.023,43.19,21.469
경기,2015-01-31,0.006,0.543,0.016,0.031,46.658,21.15
경기,2015-02-01,0.006,0.587,0.013,0.034,38.377,19.749
경기,2015-02-02,0.007,0.805,0.007,0.054,56.62,29.194
경기,2015-02-03,0.008,0.923,0.007,0.059,77.691,43.162
경기,2015-02-04,0.009,1.09,0.014,0.048,97.147,60.761
경기,2015-02-05,0.01,0.931,0.021,0.04,103.603,62.536
경기,2015-02-06,0.008,0.697,0.014,0.042,62.835,35.657
경기,2015-02-07,0.008,0.701,0.016,0.037,56.348,31.746
경기,2015-02-08,0.005,0.375,0.028,0.009,100.061,13.693
경기,2015-02-09,0.007,0.516,0.019,0.023,40.754,16.734
경기,2015-02-10,0.013,0.88,0.016,0.04,108.108,56.008
경기,2015-02-11,0.01,0.868,0.017,0.044,95.272,52.782
경기,2015-02-12,0.006,0.422,0.028,0.02,39.89,15.371
경기,2015-02-13,0.006,0.481,0.023,0.028,35.536,17.153
경기,2015-02-14,0.007,0.674,0.015,0.043,63.034,34.981
경기,2015-02-15,0.007,0.728,0.026,0.037,87.576,48.057
경기,2015-02-16,0.004,0.6,0.026,0.03,43.183,27.767
경기,2015-02-17,0.006,0.723,0.026,0.024,72.727,44.792
경기,2015-02-18,0.006,0.735,0.025,0.024,63.989,44.894
경기,2015-02-19,0.006,0.801,0.019,0.032,63.28,41.553
경기,2015-02-20,0.005,0.76,0.021,0.034,57.221,38.262
경기,2015-02-21,0.004,0.536,0.017,0.031,30.423,20.399
경기,2015-02-22,0.004,0.547,0.024,0.017,260.008,47.141
경기,2015-02-23,0.004,0.542,0.019,0.023,515.794,77.648
경기,2015-02-24,0.005,0.655,0.016,0.034,111.301,28.695
경기,2015-02-25,0.007,0.654,0.018,0.038,75.468,27.804
경기,2015-02-26,0.005,0.47,0.032,0.017,38.057,19.291
경기,2015-02-27,0.005,0.429,0.024,0.023,35.472,17.121
경기,2015-02-28,0.006,0.595,0.011,0.04,52.185,26.464
경기,2015-03-01,0.006,0.492,0.028,0.019,100.962,29.929
경기,2015-03-02,0.007,0.576,0.02,0.033,93.317,25.811
경기,2015-03-03,0.006,0.545,0.024,0.032,59.364,26.498
경기,2015-03-04,0.004,0.42,0.033,0.015,43.602,17.199
경기,2015-03-05,0.005,0.592,0.017,0.039,50.183,28.992
경기,2015-03-06,0.007,0.726,0.014,0.05,62.093,35.151
경기,2015-03-07,0.007,0.731,0.017,0.05,63.613,36.379
경기,2015-03-08,0.009,0.817,0.023,0.048,95.905,54.67
경기,2015-03-09,0.007,0.545,0.031,0.026,75.535,36.449
경기,2015-03-10,0.004,0.374,0.032,0.013,35.355,10.809
경기,2015-03-11,0.006,0.52,0.028,0.026,48.858,19.835
경기,2015-03-12,0.005,0.444,0.028,0.026,35.771,13.538
경기,2015-03-13,0.006,0.527,0.029,0.032,54.373,26.228
경기,2015-03-14,0.006,0.569,0.022,0.038,47.731,22.769
경기,2015-03-15,0.008,0.713,0.02,0.042,53.715,29.296
경기,2015-03-16,0.009,0.843,0.018,0.059,103.307,47.783
경기,2015-03-17,0.01,0.987,0.013,0.072,131.412,67.483
경기,2015-03-18,0.006,0.724,0.019,0.047,82.419,45.938
경기,2015-03-19,0.006,0.602,0.022,0.043,55.063,28.345
경기,2015-03-20,0.008,0.733,0.02,0.052,101.36,41.345
경기,2015-03-21,0.013,0.888,0.032,0.048,155.674,59.58
경기,2015-03-22,0.007,0.7,0.03,0.027,146.894,47.64
경기,2015-03-23,0.005,0.417,0.032,0.021,56.172,15.525
경기,2015-03-24,0.005,0.483,0.023,0.033,45.598,19.134
경기,2015-03-25,0.007,0.525,0.02,0.039,47.852,24.864
경기,2015-03-26,0.007,0.508,0.024,0.039,48.934,24.79
경기,2015-03-27,0.007,0.53,0.025,0.044,60.468,30.477
경기,2015-03-28,0.007,0.561,0.034,0.042,53.573,28.167
경기,2015-03-29,0.006,0.5,0.032,0.031,69.597,33.712
경기,2015-03-30,0.006,0.707,0.026,0.045,138.03,49.578
경기,2015-03-31,0.006,0.805,0.018,0.055,122.364,63.013
경남,2015-01-01,0.003,0.347,0.028,0.007,39.356,11.134
경남,2015-01-02,0.004,0.442,0.023,0.014,30.49,14.826
경남,2015-01-03,0.005,0.579,0.017,0.023,31.8,15.115
경남,2015-01-04,0.008,0.836,0.012,0.03,53.402,27.016
경남,2015-01-05,0.008,0.896,0.008,0.04,92.754,47.246
경남,2015-01-06,0.004,0.504,0.027,0.019,41.405,23.425
경남,2015-01-07,0.004,0.339,0.028,0.014,24.108,9.418
경남,2015-01-08,0.005,0.475,0.017,0.023,44.161,18.98
경남,2015-01-09,0.006,0.556,0.018,0.022,54.336,28.618
경남,2015-01-10,0.006,0.614,0.017,0.025,56.905,28.784
경남,2015-01-11,0.005,0.524,0.021,0.019,41.934,21.467
경남,2015-01-12,0.005,0.514,0.021,0.02,47.866,25.282
경남,2015-01-13,0.005,0.65,0.011,0.034,55.94,28.1
경남,2015-01-14,0.006,0.646,0.006,0.038,58.251,32.179
경남,2015-01-15,0.005,0.574,0.013,0.028,46.618,24.938
경남,2015-01-16,0.008,0.821,0.02,0.024,74.261,45.307
경남,2015-01-17,0.005,0.435,0.031,0.011,37.028,21.174
경남,2015-01-18,0.005,0.403,0.026,0.015,24.472,11.789
경남,2015-01-19,0.006,0.574,0.031,0.016,73.025,35.946
경남,2015-01-20,0.005,0.559,0.017,0.026,60.104,31.502
경남,2015-01-21,0.006,0.679,0.008,0.035,72.447,41.531
경남,2015-01-22,0.003,0.548,0.016,0.022,37.996,23.864
경남,2015-01-23,0.004,0.625,0.016,0.025,52.864,31.388
경남,2015-01-24,0.004,0.629,0.015,0.025,60.854,35.778
경남,2015-01-25,0.005,0.706,0.008,0.03,72.307,42.326
경남,2015-01-26,0.004,0.645,0.011,0.026,51.979,32.353
경남,2015-01-27,0.004,0.58,0.023,0.018,55.472,33.298
경남,2015-01-28,0.004,0.398,0.023,0.016,33.04,16.081
경남,2015-01-29,0.004,0.394,0.016,0.02,32.538,17.563
경남,2015-01-30,0.005,0.409,0.026,0.014,37.707,21.698
경남,2015-01-31,0.005,0.358,0.028,0.013,32.425,15.433
경남,2015-02-01,0.005,0.51,0.019,0.021,39.579,20.126
경남,2015-02-02,0.006,0.595,0.013,0.031,51.194,26.359
경남,2015-02-03,0.007,0.588,0.015,0.03,59.13,32.599
경남,2015-02-04,0.008,0.63,0.025,0.023,75.804,47.494
경남,2015-02-05,0.008,0.669,0.033,0.018,79.941,49.824
경남,2015-02-06,0.006,0.547,0.023,0.025,60.038,33.921
경남,2015-02-07,0.006,0.522,0.022,0.021,54.708,30.071
경남,2015-02-08,0.004,0.343,0.035,0.006,57.982,22.441
경남,2015-02-09,0.004,0.308,0.028,0.01,26.828,10.773
경남,2015-02-10,0.007,0.597,0.023,0.024,72.462,36.269
경남,2015-02-11,0.007,0.656,0.028,0.028,86.623,46.862
경남,2015-02-12,0.005,0.493,0.029,0.018,61.582,31.422
경남,2015-02-13,0.004,0.381,0.027,0.015,31.275,13.929
경남,2015-02-14,0.006,0.545,0.024,0.024,55.39,27.686
경남,2015-02-15,0.007,0.847,0.015,0.035,113.638,65.885
경남,2015-02-16,0.004,0.564,0.029,0.021,56.492,35.422
경남,2015-02-17,0.003,0.548,0.027,0.015,67.588,32.92
경남,2015-02-18,0.004,0.659,0.034,0.012,66.205,42.674
경남,2015-02-19,0.004,0.609,0.032,0.014,51.406,34.48
경남,2015-02-20,0.004,0.521,0.027,0.015,39.292,24.3
경남,2015-02-21,0.004,0.413,0.021,0.019,25.585,13.106
경남,2015-02-22,0.004,0.518,0.025,0.014,45.078,20.845
경남,2015-02-23,0.003,0.492,0.024,0.015,230.378,43.41
경남,2015-02-24,0.004,0.521,0.018,0.02,115.363,33.286
경남,2015-02-25,0.005,0.585,0.013,0.029,92.47,33.304
경남,2015-02-26,0.004,0.49,0.022,0.019,75.512,28.357
경남,2015-02-27,0.004,0.344,0.029,0.013,32.627,16.643
경남,2015-02-28,0.004,0.415,0.024,0.016,49.076,25.317
경남,2015-03-01,0.003,0.391,0.029,0.01,46.406,24.717
경남,2015-03-02,0.005,0.448,0.025,0.018,103.437,26.743
경남,2015-03-03,0.004,0.548,0.01,0.03,50.036,22.821
경남,2015-03-04,0.003,0.299,0.033,0.009,38.674,14.67
경남,2015-03-05,0.005,0.389,0.029,0.017,46.917,26.319
경남,2015-03-06,0.004,0.417,0.025,0.02,41.819,22.842
경남,2015-03-07,0.005,0.455,0.024,0.022,45.05,25.359
경남,2015-03-08,0.005,0.432,0.027,0.019,48.03,27.19
경남,2015-03-09,0.005,0.378,0.032,0.016,48.971,22.344
경남,2015-03-10,0.003,0.29,0.035,0.007,32.472,11.074
경남,2015-03-11,0.005,0.42,0.035,0.012,57.302,26.209
경남,2015-03-12,0.005,0.364,0.035,0.014,47.406,22.067
경남,2015-03-13,0.007,0.596,0.035,0.025,75.111,43.284
경남,2015-03-14,0.005,0.481,0.034,0.019,56.017,32.267
경남,2015-03-15,0.006,0.549,0.027,0.025,53.45,29.629
경남,2015-03-16,0.007,0.637,0.022,0.034,78.736,41.448
경남,2015-03-17,0.009,0.663,0.021,0.039,93.904,45.216
경남,2015-03-18,0.005,0.546,0.022,0.025,44.069,24.743
경남,2015-03-19,0.004,0.431,0.037,0.018,28.36,14.816
경남,2015-03-20,0.006,0.535,0.023,0.024,73.897,36.71
경남,2015-03-21,0.006,0.568,0.032,0.023,95.996,38.543
경남,2015-03-22,0.006,0.543,0.045,0.014,131.527,54.068
경남,2015-03-23,0.003,0.32,0.036,0.01,43.266,9.083
경남,2015-03-24,0.004,0.361,0.033,0.017,52.392,18.118
경남,2015-03-25,0.004,0.412,0.032,0.023,54.98,24.776
경남,2015-03-26,0.005,0.46,0.031,0.025,50.592,26.335
경남,2015-03-27,0.006,0.481,0.035,0.025,58.865,29.637
경남,2015-03-28,0.006,0.488,0.031,0.023,48.599,25.466
경남,2015-03-29,0.005,0.429,0.038,0.018,52.989,26.08
경남,2015-03-30,0.006,0.511,0.039,0.022,82.271,46.303
경남,2015-03-31,0.004,0.581,0.018,0.032,83.97,54.835
경북,2015-01-01,0.002,0.706,0.036,0.006,24.062,1.125
경북,2015-01-02,0.002,0.8,0.037,0.006,23.8,1.4
경북,2015-01-03,0.002,0.8,0.04,0.006,22,1
경북,2015-01-04,0.002,0.805,0.041,0.007,32.15,1.1
경북,2015-01-05,0.003,0.821,0.044,0.007,38.042,1.5
경북,2015-01-06,0.003,0.9,0.042,0.007,37.429,1.714
경북,2015-01-07,0.002,0.76,0.04,0.005,32.2,1.1
경북,2015-01-08,0.002,0.789,0.041,0.006,31.111,1
경북,2015-01-09,0.002,0.75,0.041,0.006,30.75,1.25
경북,2015-01-10,0.002,0.8,0.04,0.006,27,1.2
경북,2015-01-11,0.004,0.873,0.036,0.007,36.273,1.455
경북,2015-01-12,0.002,0.76,0.039,0.006,23.8,1
경북,2015-01-13,0.002,0.8,0.043,0.007,22,1
경북,2015-01-15,0.002,0.936,0.042,0.006,41.286,1.643
경북,2015-01-16,0.004,1.004,0.044,0.007,48.542,2.458
경북,2015-01-17,0.003,0.889,0.04,0.006,36.111,2
경북,2015-01-18,0.002,0.75,0.041,0.006,21.333,1
경북,2015-01-19,0.004,0.945,0.04,0.007,42.773,1.955
경북,2015-01-20,0.002,1.391,0.043,0.006,40.318,1.409
경북,2015-01-21,0.002,0.612,0.043,0.006,31.941,1.353
경북,2015-01-22,0.002,0.31,0.044,0.007,32.429,1.19
경북,2015-01-23,0.002,0.283,0.043,0.008,28.125,1.167
경북,2015-01-24,0.004,0.43,0.046,0.01,49.435,2.696
경북,2015-01-25,0.004,0.408,0.052,0.009,47.167,2.25
경북,2015-01-26,0.002,0.445,0.045,0.009,24.45,1.35
경북,2015-01-27,0.002,0.395,0.041,0.008,33.1,1.85
경북,2015-01-28,0.002,0.292,0.04,0.008,22.167,1.083
경북,2015-01-29,0.001,0.2,0.041,0.008,20,1
경북,2015-01-30,0.003,0.427,0.045,0.009,33.636,1.636
경북,2015-01-31,0.003,0.369,0.043,0.008,31.938,1.25
경북,2015-02-01,0.002,0.353,0.044,0.008,25.368,1.211
경북,2015-02-02,0.001,0.333,0.043,0.008,18.583,1
경북,2015-02-03,0.001,0.3,0.047,0.008,19.667,1
경북,2015-02-04,0.001,0.325,0.047,0.008,17.333,1
경북,2015-02-05,0.002,0.3,0.049,0.008,22.6,1.1
경북,2015-02-06,0.002,0.379,0.054,0.009,35.579,1.947
경북,2015-02-07,0.002,0.404,0.049,0.01,37.696,1.87
경북,2015-02-08,0.003,0.38,0.042,0.009,44.6,2.1
경북,2015-02-09,0.002,0.3,0.044,0.008,41.385,1.308
경북,2015-02-10,0.005,0.5,0.047,0.01,63.783,3.217
경북,2015-02-11,0.006,0.604,0.054,0.011,71.875,4.375
경북,2015-02-12,0.003,0.468,0.051,0.009,66.579,2.789
경북,2015-02-13,0.002,0.321,0.045,0.008,35.053,1.158
경북,2015-02-14,0.004,0.471,0.057,0.009,46.941,2.706
경북,2015-02-15,0.004,0.587,0.059,0.009,69.208,3.917
경북,2015-02-16,0.003,0.486,0.05,0.009,39.929,1.714
경북,2015-02-17,0.001,0.4,0.05,0.008,32.5,1
경북,2015-02-18,0.001,0.333,0.05,0.008,19.667,1
경북,2015-02-19,0.002,0.394,0.049,0.008,29.412,1.529
경북,2015-02-20,0.001,0.406,0.048,0.008,24.75,1.125
경북,2015-02-21,0.003,0.418,0.047,0.008,19.273,1
경북,2015-02-22,0.002,0.55,0.046,0.009,57.1,3.3
경북,2015-02-23,0.001,0.542,0.043,0.008,195.5,3.833
경북,2015-02-24,0.002,0.5,0.045,0.008,137.565,2.739
경북,2015-02-25,0.001,0.425,0.05,0.008,77,1.708
경북,2015-02-26,0.002,0.518,0.049,0.009,55.545,1.864
경북,2015-02-27,0.002,0.404,0.048,0.008,38.043,1.435
경북,2015-02-28,0.002,0.405,0.049,0.008,40.636,1.591
경북,2015-03-01,0.002,0.416,0.049,0.008,42.105,1.526
경북,2015-03-02,0.002,0.475,0.05,0.008,62.85,1.75
경북,2015-03-03,0.003,0.4,0.046,0.009,44.727,1.091
경북,2015-03-04,0.002,1.013,0.047,0.008,45.522,1.435
경북,2015-03-05,0.002,0.3,0.051,0.008,40.522,1.826
경북,2015-03-06,0.001,0.254,0.052,0.008,24.308,1.154
경북,2015-03-07,0.001,0.264,0.055,0.008,19.182,1
경북,2015-03-08,0.002,0.293,0.057,0.008,24.133,1
경북,2015-03-09,0.002,0.4,0.055,0.008,44.167,2.333
경북,2015-03-10,0.002,0.253,0.047,0.007,46.118,1.706
경북,2015-03-11,0.002,0.306,0.05,0.008,46.412,1.412
경북,2015-03-12,0.003,0.3,0.052,0.008,49,1.625
경북,2015-03-13,0.003,0.343,0.058,0.008,51.81,2
경북,2015-03-14,0.002,0.3,0.058,0.008,38.533,1.333
경북,2015-03-15,0.003,0.425,0.067,0.009,36.75,1.375
경북,2015-03-16,0.003,0.412,0.067,0.01,61.471,2.647
경북,2015-03-17,0.004,0.485,0.067,0.01,88.4,3.65
경북,2015-03-18,0.002,0.473,0.063,0.009,56.909,2.409
경북,2015-03-19,0.001,0.436,0.063,0.008,46.636,2.136
경북,2015-03-20,0.001,0.486,0.062,0.008,43.143,1.857
경북,2015-03-21,0.002,0.469,0.066,0.008,86.231,2.231
경북,2015-03-22,0.002,0.433,0.061,0.008,110,2.5
경북,2015-03-23,0.002,0.293,0.052,0.008,52.786,1.143
경북,2015-03-24,0.001,0.306,0.053,0.008,34.882,1.176
경북,2015-03-25,0.001,0.3,0.055,0.008,23.778,1
경북,2015-03-26,0.003,0.452,0.062,0.01,46.571,2.286
경북,2015-03-27,0.005,0.491,0.078,0.011,74.636,3.864
경북,2015-03-28,0.004,0.495,0.073,0.01,60.737,3.105
경북,2015-03-29,0.002,0.494,0.061,0.009,45.059,2.294
경북,2015-03-30,0.002,0.529,0.073,0.009,91.333,3.238
경북,2015-03-31,0.003,0.567,0.072,0.009,84.238,4.238
광주,2015-01-01,0.004,0.327,0.021,0.01,27.399,12
광주,2015-01-02,0.004,0.458,0.015,0.021,23.667,15.952
광주,2015-01-03,0.004,0.588,0.011,0.029,33.873,21.921
광주,2015-01-04,0.004,0.791,0.013,0.033,59.31,39.113
광주,2015-01-05,0.005,0.98,0.008,0.039,79.839,56.112
광주,2015-01-06,0.004,0.48,0.028,0.017,33.642,19.068
광주,2015-01-07,0.004,0.373,0.028,0.014,26.848,9.305
광주,2015-01-08,0.004,0.464,0.02,0.021,34.97,16.345
광주,2015-01-09,0.008,0.913,0.012,0.035,74.289,44.765
광주,2015-01-10,0.006,0.746,0.017,0.028,59.524,34.5
광주,2015-01-11,0.004,0.637,0.018,0.02,40.804,23.571
광주,2015-01-12,0.005,0.529,0.02,0.022,37.988,23.421
광주,2015-01-13,0.004,0.76,0.008,0.036,54.456,30.981
광주,2015-01-14,0.004,0.763,0.006,0.036,56.915,32.515
광주,2015-01-15,0.006,0.872,0.011,0.039,72.94,44.81
광주,2015-01-16,0.006,1.143,0.011,0.033,100.732,70.696
광주,2015-01-17,0.004,0.453,0.028,0.013,26.952,14.661
광주,2015-01-18,0.004,0.531,0.019,0.018,28.144,16.234
광주,2015-01-19,0.006,0.78,0.025,0.021,73.679,39.623
광주,2015-01-20,0.004,0.596,0.016,0.027,45.945,21.793
광주,2015-01-21,0.005,0.832,0.005,0.036,54.402,35.402
광주,2015-01-22,0.004,0.564,0.018,0.026,43.583,28.488
광주,2015-01-23,0.004,0.679,0.016,0.03,55.607,34.571
광주,2015-01-24,0.004,0.64,0.014,0.03,47.107,31.637
광주,2015-01-25,0.004,0.681,0.014,0.027,45.768,33.19
광주,2015-01-26,0.003,0.608,0.017,0.023,25.663,22.024
광주,2015-01-27,0.004,0.519,0.028,0.014,47.391,32.36
광주,2015-01-28,0.004,0.424,0.019,0.02,32.782,17.012
광주,2015-01-29,0.004,0.66,0.006,0.031,40.125,27.321
광주,2015-01-30,0.004,0.442,0.024,0.017,28.369,20.155
광주,2015-01-31,0.004,0.374,0.028,0.012,27.323,14.892
광주,2015-02-01,0.004,0.466,0.021,0.019,28.44,19.898
광주,2015-02-02,0.004,0.579,0.014,0.028,40.327,26.139
광주,2015-02-03,0.005,0.71,0.014,0.033,54.383,36.667
광주,2015-02-04,0.009,1.007,0.021,0.034,95.564,76.945
광주,2015-02-05,0.006,0.649,0.029,0.024,57.283,44.892
광주,2015-02-06,0.004,0.408,0.026,0.021,34.048,21.429
광주,2015-02-07,0.004,0.582,0.015,0.029,46.542,32.327
광주,2015-02-08,0.003,0.335,0.032,0.007,49.315,15.958
광주,2015-02-09,0.004,0.388,0.025,0.015,23.134,11.591
광주,2015-02-10,0.007,0.692,0.025,0.028,72.509,42.255
광주,2015-02-11,0.006,0.831,0.021,0.037,83.833,53.759
광주,2015-02-12,0.004,0.455,0.031,0.018,46.536,23.613
광주,2015-02-13,0.004,0.484,0.025,0.023,33.851,17.679
광주,2015-02-14,0.005,0.747,0.02,0.035,72.107,47.036
광주,2015-02-15,0.005,0.884,0.02,0.037,97.383,64.341
광주,2015-02-16,0.004,0.694,0.03,0.025,23.35,22.459
광주,2015-02-17,0.004,0.581,0.036,0.013,82.261,44.352
광주,2015-02-18,0.004,0.58,0.039,0.011,53.899,42.065
광주,2015-02-19,0.004,0.554,0.037,0.013,43.341,34.635
광주,2015-02-20,0.004,0.593,0.03,0.018,37.119,30.506
광주,2015-02-21,0.005,0.554,0.022,0.023,15.125,11.196
광주,2015-02-22,0.004,0.504,0.033,0.012,108.613,31.411
